,Distrito,Tipo I,Ases.,Viol.,Robo,Agr. Grave,Esc.,Apr. I,H. Auto,Date
233,Ciales,44,0.0,0.0,2.0,4.0,18.0,15,5.0,2010-03-01
234,Yauco,153,1.0,1.0,19.0,13.0,39.0,64,16.0,2010-04-01
235,Yabucoa,186,1.0,0.0,21.0,9.0,92.0,61,2.0,2010-04-01
236,Orocovis,144,0.0,0.0,2.0,7.0,69.0,54,12.0,2010-04-01
237,Naranjito,137,1.0,0.0,9.0,3.0,48.0,53,23.0,2010-04-01
238,Naguabo,91,4.0,0.0,9.0,7.0,46.0,24,1.0,2010-04-01
239,Morovis,75,0.0,0.0,3.0,6.0,43.0,11,12.0,2010-04-01
240,Moca,82,1.0,0.0,4.0,4.0,38.0,31,4.0,2010-04-01
241,Mayagüez,690,4.0,0.0,47.0,30.0,211.0,362,36.0,2010-04-01
242,Maunabo,38,0.0,0.0,3.0,11.0,16.0,8,0.0,2010-04-01
243,Maricao,41,0.0,0.0,0.0,5.0,19.0,16,1.0,2010-04-01
244,Manatí,164,2.0,0.0,8.0,5.0,47.0,34,68.0,2010-04-01
245,Luquillo,157,5.0,0.0,3.0,21.0,60.0,60,8.0,2010-04-01
246,Loiza,157,4.0,0.0,15.0,10.0,39.0,81,8.0,2010-04-01
247,Las Piedras,150,3.0,0.0,17.0,7.0,66.0,54,3.0,2010-04-01
248,Las Marías,35,0.0,0.0,2.0,0.0,22.0,10,1.0,2010-04-01
249,Lares,192,0.0,0.0,10.0,5.0,94.0,78,5.0,2010-04-01
250,Lajas,53,1.0,0.0,4.0,0.0,29.0,18,1.0,2010-04-01
251,Patillas,69,1.0,0.0,2.0,7.0,29.0,28,2.0,2010-04-01
252,Ponce,1094,26.0,2.0,84.0,72.0,264.0,554,92.0,2010-04-01
253,Quebradillas,53,0.0,0.0,3.0,2.0,19.0,24,5.0,2010-04-01
254,Rincón,61,1.0,0.0,0.0,2.0,19.0,34,5.0,2010-04-01
255,Villalba,33,0.0,0.0,2.0,1.0,15.0,9,6.0,2010-04-01
256,Vieques,86,3.0,0.0,4.0,2.0,42.0,34,1.0,2010-04-01
257,Vega Baja,243,2.0,0.0,30.0,10.0,65.0,81,55.0,2010-04-01
258,Vega Alta,221,4.0,0.0,32.0,12.0,37.0,67,69.0,2010-04-01
259,Utuado,333,0.0,0.0,11.0,6.0,144.0,166,6.0,2010-04-01
260,Trujillo Alto,313,3.0,0.0,34.0,17.0,109.0,124,26.0,2010-04-01
261,Toa Baja,500,9.0,0.0,89.0,17.0,129.0,175,81.0,2010-04-01
262,Juncos,88,5.0,1.0,15.0,4.0,39.0,16,8.0,2010-04-01
263,Toa Alta,167,1.0,0.0,26.0,7.0,59.0,37,37.0,2010-04-01
264,San Sebastián,172,0.0,1.0,3.0,11.0,94.0,53,10.0,2010-04-01
265,San Lorenzo,103,6.0,0.0,13.0,3.0,63.0,13,5.0,2010-04-01
266,San Juan,3493,60.0,1.0,526.0,119.0,547.0,1719,521.0,2010-04-01
267,San Germán,61,2.0,0.0,3.0,1.0,25.0,24,6.0,2010-04-01
268,Salinas,255,2.0,0.0,13.0,12.0,68.0,152,8.0,2010-04-01
269,Sabana Grande,71,0.0,0.0,2.0,1.0,22.0,45,1.0,2010-04-01
270,Rio Grande,186,4.0,0.0,40.0,12.0,62.0,61,7.0,2010-04-01
271,Santa Isabel,144,4.0,0.0,8.0,8.0,44.0,69,11.0,2010-04-01
272,Juana Díaz,146,5.0,1.0,16.0,6.0,64.0,46,8.0,2010-04-01
273,Peñuelas,62,0.0,1.0,13.0,2.0,24.0,19,3.0,2010-04-01
274,Isabela,112,2.0,0.0,7.0,6.0,47.0,46,4.0,2010-04-01
275,Carolina,1020,11.0,0.0,160.0,45.0,186.0,532,86.0,2010-04-01
276,Canóvanas,228,12.0,0.0,27.0,15.0,93.0,74,7.0,2010-04-01
277,Camuy,56,0.0,0.0,4.0,0.0,39.0,5,8.0,2010-04-01
278,Caguas,743,4.0,0.0,98.0,32.0,266.0,253,90.0,2010-04-01
279,Cabo Rojo,146,0.0,0.0,5.0,5.0,92.0,36,8.0,2010-04-01
280,Bayamón,2481,18.0,0.0,304.0,44.0,489.0,1265,361.0,2010-04-01
281,Barranquitas,179,4.0,0.0,8.0,19.0,75.0,61,12.0,2010-04-01
282,Cataño,95,0.0,0.0,5.0,11.0,28.0,42,9.0,2010-04-01
283,Barceloneta,132,3.0,0.0,10.0,0.0,45.0,38,36.0,2010-04-01
284,Arecibo,320,7.0,0.0,34.0,17.0,119.0,69,74.0,2010-04-01
285,Añasco,79,0.0,0.0,5.0,5.0,48.0,18,3.0,2010-04-01
286,Aibonito,169,1.0,0.0,6.0,10.0,57.0,78,17.0,2010-04-01
287,Aguas Buenas,101,1.0,0.0,18.0,15.0,45.0,20,2.0,2010-04-01
288,Aguadilla,320,0.0,0.0,25.0,20.0,144.0,124,7.0,2010-04-01
289,Aguada ,166,1.0,0.0,5.0,14.0,67.0,71,8.0,2010-04-01
