region,total_customers,affected_customers,created_at
MAYAGUEZ,216605,3,2022-01-02T00:00:00
PONCE,212508,1,2022-01-02T00:00:00
SAN JUAN,253068,2,2022-01-02T00:00:00
ARECIBO,177369,4,2022-09-02T06:00:00
BAYAMON,216496,203,2022-09-02T06:00:00
CAROLINA,141663,180,2022-09-02T06:00:00
CAGUAS,250514,25,2022-09-02T06:00:00
MAYAGUEZ,216605,119,2022-09-02T06:00:00
PONCE,212508,70,2022-09-02T06:00:00
SAN JUAN,253068,1391,2022-09-02T06:00:00
ARECIBO,177369,41,2021-10-24T00:00:00
BAYAMON,216496,727,2021-10-24T00:00:00
CAROLINA,141663,9,2021-10-24T00:00:00
CAGUAS,250514,537,2021-10-24T00:00:00
MAYAGUEZ,216605,72,2021-10-24T00:00:00
PONCE,212508,119,2021-10-24T00:00:00
SAN JUAN,253068,34,2021-10-24T00:00:00
ARECIBO,177369,77,2022-10-16T03:00:00
BAYAMON,216496,699,2022-10-16T03:00:00
CAROLINA,141663,66,2022-10-16T03:00:00
CAGUAS,250514,500,2022-10-16T03:00:00
MAYAGUEZ,216605,5044,2022-10-16T03:00:00
PONCE,212508,3961,2022-10-16T03:00:00
SAN JUAN,253068,588,2022-10-16T03:00:00
ARECIBO,177369,412,2023-02-15T21:00:00
BAYAMON,216496,306,2023-02-15T21:00:00
CAROLINA,141663,30,2023-02-15T21:00:00
CAGUAS,250514,286,2023-02-15T21:00:00
MAYAGUEZ,216605,253,2023-02-15T21:00:00
PONCE,212508,1518,2023-02-15T21:00:00
SAN JUAN,253068,120,2023-02-15T21:00:00
ARECIBO,177369,54,2022-01-14T06:00:00
BAYAMON,216496,27,2022-01-14T06:00:00
CAROLINA,141663,2,2022-01-14T06:00:00
CAGUAS,250514,45,2022-01-14T06:00:00
MAYAGUEZ,216605,31,2022-01-14T06:00:00
PONCE,212508,2,2022-01-14T06:00:00
SAN JUAN,253068,13,2022-01-14T06:00:00
ARECIBO,177369,710,2022-10-09T12:00:00
BAYAMON,216496,184,2022-10-09T12:00:00
CAROLINA,141663,272,2022-10-09T12:00:00
CAGUAS,250514,2135,2022-10-09T12:00:00
MAYAGUEZ,216605,49386,2022-10-09T12:00:00
PONCE,212508,24068,2022-10-09T12:00:00
SAN JUAN,253068,279,2022-10-09T12:00:00
ARECIBO,177369,108,2022-04-05T18:00:00
BAYAMON,216496,288,2022-04-05T18:00:00
CAROLINA,141663,3,2022-04-05T18:00:00
CAGUAS,250514,2021,2022-04-05T18:00:00
MAYAGUEZ,216605,105,2022-04-05T18:00:00
PONCE,212508,1,2022-04-05T18:00:00
SAN JUAN,253068,461,2022-04-05T18:00:00
ARECIBO,177369,18,2022-04-11T18:00:00
BAYAMON,216496,215,2022-04-11T18:00:00
CAROLINA,141663,238,2022-04-11T18:00:00
CAGUAS,250514,174,2022-04-11T18:00:00
MAYAGUEZ,216605,259,2022-04-11T18:00:00
PONCE,212508,86,2022-04-11T18:00:00
SAN JUAN,253068,434,2022-04-11T18:00:00
ARECIBO,177369,18,2022-08-01T06:00:00
BAYAMON,216496,134,2022-08-01T06:00:00
CAROLINA,141663,750,2022-08-01T06:00:00
CAGUAS,250514,514,2022-08-01T06:00:00
MAYAGUEZ,216605,56,2022-08-01T06:00:00
